dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt,season_holiday
2011-01-28,Spring,2011,January,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",38,1129,1167,Spring_not holiday
2011-01-29,Spring,2011,January,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",123,975,1098,Spring_not holiday
2011-01-30,Spring,2011,January,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",140,956,1096,Spring_not holiday
2011-01-31,Spring,2011,January,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",42,1459,1501,Spring_not holiday
2011-02-01,Spring,2011,February,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",47,1313,1360,Spring_not holiday
2011-02-02,Spring,2011,February,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",72,1454,1526,Spring_not holiday
2011-02-03,Spring,2011,February,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",61,1489,1550,Spring_not holiday
2011-02-04,Spring,2011,February,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",88,1620,1708,Spring_not holiday
2011-02-05,Spring,2011,February,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",100,905,1005,Spring_not holiday
2011-02-06,Spring,2011,February,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",354,1269,1623,Spring_not holiday
2011-02-07,Spring,2011,February,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",120,1592,1712,Spring_not holiday
2011-02-08,Spring,2011,February,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",64,1466,1530,Spring_not holiday
2011-02-09,Spring,2011,February,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",53,1552,1605,Spring_not holiday
2011-02-10,Spring,2011,February,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",47,1491,1538,Spring_not holiday
2011-02-11,Spring,2011,February,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",149,1597,1746,Spring_not holiday
2011-02-12,Spring,2011,February,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",288,1184,1472,Spring_not holiday
2011-02-13,Spring,2011,February,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",397,1192,1589,Spring_not holiday
2011-02-14,Spring,2011,February,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",208,1705,1913,Spring_not holiday
2011-02-15,Spring,2011,February,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",140,1675,1815,Spring_not holiday
2011-02-16,Spring,2011,February,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",218,1897,2115,Spring_not holiday
2011-02-17,Spring,2011,February,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",259,2216,2475,Spring_not holiday
2011-02-18,Spring,2011,February,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",579,2348,2927,Spring_not holiday
2011-02-19,Spring,2011,February,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",532,1103,1635,Spring_not holiday
2011-02-20,Spring,2011,February,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",639,1173,1812,Spring_not holiday
2011-02-21,Spring,2011,February,holiday,monday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",195,912,1107,Spring_holiday
2011-02-22,Spring,2011,February,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",74,1376,1450,Spring_not holiday
2011-02-23,Spring,2011,February,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",139,1778,1917,Spring_not holiday
2011-02-24,Spring,2011,February,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",100,1707,1807,Spring_not holiday
2011-02-25,Spring,2011,February,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",120,1341,1461,Spring_not holiday
2011-02-26,Spring,2011,February,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",424,1545,1969,Spring_not holiday
2011-02-27,Spring,2011,February,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",694,1708,2402,Spring_not holiday
2011-02-28,Spring,2011,February,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",81,1365,1446,Spring_not holiday
2011-03-01,Spring,2011,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",137,1714,1851,Spring_not holiday
2011-03-02,Spring,2011,March,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",231,1903,2134,Spring_not holiday
2011-03-03,Spring,2011,March,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",123,1562,1685,Spring_not holiday
2011-03-04,Spring,2011,March,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",214,1730,1944,Spring_not holiday
2011-03-05,Spring,2011,March,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",640,1437,2077,Spring_not holiday
2011-03-06,Spring,2011,March,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",114,491,605,Spring_not holiday
2011-03-07,Spring,2011,March,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",244,1628,1872,Spring_not holiday
2011-03-08,Spring,2011,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",316,1817,2133,Spring_not holiday
2011-03-09,Spring,2011,March,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",191,1700,1891,Spring_not holiday
2011-03-10,Spring,2011,March,not holiday,thursday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",46,577,623,Spring_not holiday
2011-03-11,Spring,2011,March,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",247,1730,1977,Spring_not holiday
2011-03-12,Spring,2011,March,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",724,1408,2132,Spring_not holiday
2011-03-13,Spring,2011,March,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",982,1435,2417,Spring_not holiday
2011-03-14,Spring,2011,March,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",359,1687,2046,Spring_not holiday
2011-03-15,Spring,2011,March,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",289,1767,2056,Spring_not holiday
2011-03-16,Spring,2011,March,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",321,1871,2192,Spring_not holiday
2011-03-17,Spring,2011,March,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",424,2320,2744,Spring_not holiday
2011-03-18,Spring,2011,March,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",884,2355,3239,Spring_not holiday
2011-03-19,Spring,2011,March,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1424,1693,3117,Spring_not holiday
2011-03-20,Spring,2011,March,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1047,1424,2471,Spring_not holiday
2011-03-21,Summer,2011,March,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",401,1676,2077,Summer_not holiday
2011-03-22,Summer,2011,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",460,2243,2703,Summer_not holiday
2011-03-23,Summer,2011,March,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",203,1918,2121,Summer_not holiday
2011-03-24,Summer,2011,March,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",166,1699,1865,Summer_not holiday
2011-03-25,Summer,2011,March,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",300,1910,2210,Summer_not holiday
2011-03-26,Summer,2011,March,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",981,1515,2496,Summer_not holiday
2011-03-27,Summer,2011,March,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",472,1221,1693,Summer_not holiday
2011-03-28,Summer,2011,March,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",222,1806,2028,Summer_not holiday
2011-03-29,Summer,2011,March,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",317,2108,2425,Summer_not holiday
2011-03-30,Summer,2011,March,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",168,1368,1536,Summer_not holiday
2011-03-31,Summer,2011,March,not holiday,thursday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",179,1506,1685,Summer_not holiday
2011-04-01,Summer,2011,April,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",307,1920,2227,Summer_not holiday
2011-04-02,Summer,2011,April,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",898,1354,2252,Summer_not holiday
2011-04-03,Summer,2011,April,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1651,1598,3249,Summer_not holiday
2011-04-04,Summer,2011,April,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",734,2381,3115,Summer_not holiday
2011-04-05,Summer,2011,April,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",167,1628,1795,Summer_not holiday
2011-04-06,Summer,2011,April,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",413,2395,2808,Summer_not holiday
2011-04-07,Summer,2011,April,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",571,2570,3141,Summer_not holiday
2011-04-08,Summer,2011,April,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",172,1299,1471,Summer_not holiday
2011-04-09,Summer,2011,April,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",879,1576,2455,Summer_not holiday
2011-04-10,Summer,2011,April,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1188,1707,2895,Summer_not holiday
2011-04-11,Summer,2011,April,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",855,2493,3348,Summer_not holiday
2011-04-12,Summer,2011,April,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",257,1777,2034,Summer_not holiday
2011-04-13,Summer,2011,April,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",209,1953,2162,Summer_not holiday
2011-04-14,Summer,2011,April,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",529,2738,3267,Summer_not holiday
2011-04-15,Summer,2011,April,holiday,friday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",642,2484,3126,Summer_holiday
2011-04-16,Summer,2011,April,not holiday,saturday,weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",121,674,795,Summer_not holiday
2011-04-17,Summer,2011,April,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1558,2186,3744,Summer_not holiday
2011-04-18,Summer,2011,April,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",669,2760,3429,Summer_not holiday
2011-04-19,Summer,2011,April,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",409,2795,3204,Summer_not holiday
2011-04-20,Summer,2011,April,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",613,3331,3944,Summer_not holiday
2011-04-21,Summer,2011,April,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",745,3444,4189,Summer_not holiday
2011-04-22,Summer,2011,April,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",177,1506,1683,Summer_not holiday
2011-04-23,Summer,2011,April,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1462,2574,4036,Summer_not holiday
2011-04-24,Summer,2011,April,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1710,2481,4191,Summer_not holiday
2011-04-25,Summer,2011,April,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",773,3300,4073,Summer_not holiday
2011-04-26,Summer,2011,April,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",678,3722,4400,Summer_not holiday
2011-04-27,Summer,2011,April,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",547,3325,3872,Summer_not holiday
2011-04-28,Summer,2011,April,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",569,3489,4058,Summer_not holiday
2011-04-29,Summer,2011,April,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",878,3717,4595,Summer_not holiday
2011-04-30,Summer,2011,April,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1965,3347,5312,Summer_not holiday
2011-05-01,Summer,2011,May,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1138,2213,3351,Summer_not holiday
2011-05-02,Summer,2011,May,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",847,3554,4401,Summer_not holiday
2011-05-03,Summer,2011,May,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",603,3848,4451,Summer_not holiday
2011-05-04,Summer,2011,May,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",255,2378,2633,Summer_not holiday
2011-05-05,Summer,2011,May,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",614,3819,4433,Summer_not holiday
2011-05-06,Summer,2011,May,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",894,3714,4608,Summer_not holiday
2011-05-07,Summer,2011,May,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1612,3102,4714,Summer_not holiday
2011-05-08,Summer,2011,May,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1401,2932,4333,Summer_not holiday
2011-05-09,Summer,2011,May,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",664,3698,4362,Summer_not holiday
2011-05-10,Summer,2011,May,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",694,4109,4803,Summer_not holiday
2011-05-11,Summer,2011,May,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",550,3632,4182,Summer_not holiday
2011-05-12,Summer,2011,May,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",695,4169,4864,Summer_not holiday
2011-05-13,Summer,2011,May,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",692,3413,4105,Summer_not holiday
2011-05-14,Summer,2011,May,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",902,2507,3409,Summer_not holiday
2011-05-15,Summer,2011,May,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1582,2971,4553,Summer_not holiday
2011-05-16,Summer,2011,May,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",773,3185,3958,Summer_not holiday
2011-05-17,Summer,2011,May,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",678,3445,4123,Summer_not holiday
2011-05-18,Summer,2011,May,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",536,3319,3855,Summer_not holiday
2011-05-19,Summer,2011,May,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",735,3840,4575,Summer_not holiday
2011-05-20,Summer,2011,May,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",909,4008,4917,Summer_not holiday
2011-05-21,Summer,2011,May,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2258,3547,5805,Summer_not holiday
2011-05-22,Summer,2011,May,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1576,3084,4660,Summer_not holiday
2011-05-23,Summer,2011,May,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",836,3438,4274,Summer_not holiday
2011-05-24,Summer,2011,May,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",659,3833,4492,Summer_not holiday
2011-05-25,Summer,2011,May,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",740,4238,4978,Summer_not holiday
2011-05-26,Summer,2011,May,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",758,3919,4677,Summer_not holiday
2011-05-27,Summer,2011,May,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",871,3808,4679,Summer_not holiday
2011-05-28,Summer,2011,May,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2001,2757,4758,Summer_not holiday
2011-05-29,Summer,2011,May,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2355,2433,4788,Summer_not holiday
2011-05-30,Summer,2011,May,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1549,2549,4098,Summer_holiday
2011-05-31,Summer,2011,May,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",673,3309,3982,Summer_not holiday
2011-06-01,Summer,2011,June,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",513,3461,3974,Summer_not holiday
2011-06-02,Summer,2011,June,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",736,4232,4968,Summer_not holiday
2011-06-03,Summer,2011,June,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",898,4414,5312,Summer_not holiday
2011-06-04,Summer,2011,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1869,3473,5342,Summer_not holiday
2011-06-05,Summer,2011,June,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1685,3221,4906,Summer_not holiday
2011-06-06,Summer,2011,June,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",673,3875,4548,Summer_not holiday
2011-06-07,Summer,2011,June,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",763,4070,4833,Summer_not holiday
2011-06-08,Summer,2011,June,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",676,3725,4401,Summer_not holiday
2011-06-09,Summer,2011,June,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",563,3352,3915,Summer_not holiday
2011-06-10,Summer,2011,June,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",815,3771,4586,Summer_not holiday
2011-06-11,Summer,2011,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1729,3237,4966,Summer_not holiday
2011-06-12,Summer,2011,June,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1467,2993,4460,Summer_not holiday
2011-06-13,Summer,2011,June,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",863,4157,5020,Summer_not holiday
2011-06-14,Summer,2011,June,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",727,4164,4891,Summer_not holiday
2011-06-15,Summer,2011,June,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",769,4411,5180,Summer_not holiday
2011-06-16,Summer,2011,June,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",545,3222,3767,Summer_not holiday
2011-06-17,Summer,2011,June,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",863,3981,4844,Summer_not holiday
2011-06-18,Summer,2011,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1807,3312,5119,Summer_not holiday
2011-06-19,Summer,2011,June,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1639,3105,4744,Summer_not holiday
2011-06-20,Summer,2011,June,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",699,3311,4010,Summer_not holiday
2011-06-21,Fall,2011,June,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",774,4061,4835,Fall_not holiday
2011-06-22,Fall,2011,June,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",661,3846,4507,Fall_not holiday
2011-06-23,Fall,2011,June,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",746,4044,4790,Fall_not holiday
2011-06-24,Fall,2011,June,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",969,4022,4991,Fall_not holiday
2011-06-25,Fall,2011,June,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1782,3420,5202,Fall_not holiday
2011-06-26,Fall,2011,June,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1920,3385,5305,Fall_not holiday
2011-06-27,Fall,2011,June,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",854,3854,4708,Fall_not holiday
2011-06-28,Fall,2011,June,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",732,3916,4648,Fall_not holiday
